Model,Dataset,Avg_Safe,Avg_Unsafe,Avg_CRA (%),CRA_eps4/255 (%),Eps4_Safe,Eps4_Unsafe,Avg_Time
mnist_fc,MNIST,85.8,14.2,85.75,78.0,78,22,0.8662
mnist_fc,EMNIST,46.5,53.5,46.5,38.0,38,62,0.4861
mnist_fc,PixMix,55.5,44.2,55.5,47.0,47,52,0.5947
mnist_fc_adv_eps0.01_acc93.17,MNIST,92.5,7.5,92.5,90.0,90,10,0.9481
mnist_fc_adv_eps0.01_acc93.17,EMNIST,54.2,45.8,54.25,53.0,53,47,0.5576
mnist_fc_adv_eps0.01_acc93.17,PixMix,67.8,32.2,67.75,64.0,64,36,0.6882
mnist_fc_adv_eps0.02_acc92.60,MNIST,93.0,7.0,93.0,92.0,92,8,0.9645
mnist_fc_adv_eps0.02_acc92.60,EMNIST,54.0,46.0,54.0,52.0,52,48,0.5602
mnist_fc_adv_eps0.02_acc92.60,PixMix,68.8,31.2,68.75,67.0,67,33,0.7117
mnist_fc_adv_eps0.03_acc92.57,MNIST,92.8,7.2,92.75,92.0,92,8,0.9534
mnist_fc_adv_eps0.03_acc92.57,EMNIST,53.0,47.0,53.0,51.0,51,49,0.5473
mnist_fc_adv_eps0.03_acc92.57,PixMix,67.8,32.2,67.75,65.0,65,35,0.6784
